cells,celltype
SM.D9EOV_S70_E1.50,MP
SM.D9EOV_S71_E1.50,MP
SM.D9EOW_S33_E1.50,K
SM.D9EOW_S35_E1.50,MP
SM.D9EOW_S37_E1.50,GABA2
SM.D9EOW_S39_E1.50,MP
SM.D9EOW_S42_E1.50,MP
SM.D9EOW_S45_E1.50,MP
SM.D9EOW_S46_E1.50,MP
SM.D9EOW_S47_E1.50,MP
SM.D9EOW_S49_E1.50,MP
SM.D9EOW_S50_E1.50,MP
SM.D9EOW_S51_E1.50,MP
SM.D9EOW_S52_E1.50,MP
SM.D9EOW_S53_E1.50,MP
